Month,E,A,C,H,G,,Month,E,A,C,H,G
Jul.12,230.964,120.646,192.14,265.403,280.808,,,,,,,
Aug.12,236.44,126.515,194.68,266.008,296.016,,,,,,,
Sep.12,244.487,131.132,196.353,266.552,309.028,,,,,,,
Oct.12,238.804,127.798,195.641,265.971,305.757,,,,,,,
Nov.12,238.219,124.685,194.84,266.862,298.036,,,,,,,
Dec.12,231.426,122.501,192.935,267.015,283.474,,,,,,,
Jan.13,236.993,123.4,193.934,268.881,280.51,,,,,,,
Feb.13,241.822,128.008,195.792,269.26,296.391,,,,,,,
Mar.13,238.293,129.082,195.913,269.193,295.737,,,,,,,
Apr.13,231.477,128.179,194.984,268.403,283.984,,,,,,,
May.13,232.887,126.863,194.168,269.517,282.996,,,,,,,
Jun.13,235.735,125.575,194.158,270.574,284.053,,,,,,,
Jul.13,240.19,122.905,194.073,271.114,292.424,,,,,,,
Aug.13,235.864,125.888,194.598,271.752,292.538,,,,,,,
Sep.13,239.829,130.543,195.066,272.914,287.786,,,,,,,
Oct.13,225.512,128.599,193.053,271.244,272.028,,,,,,,
Nov.13,222.995,126.696,192.457,271.864,267.737,,,,,,,
,,,,,,,,,,,,
Dec.13,229.165,121.634,192.068,272.862,276.211,,,,,,,
Jan.14,246.581,122.918,192.987,277.625,274.974,,,,,,,
Feb.14,238.122,124.534,193.544,275.507,276.194,,,,,,,
Mar.14,241.129,128.118,194.95,276.078,282.777,,,,,,,
Apr.14,237.186,126.217,194.876,275.77,288.162,,,,,,,
May.14,241.877,125.435,195.316,277.037,293.304,,,,,,,
Jun.14,242.27,123.067,195.136,277.24,294.361,,,,,,,
Jul.14,240.171,123.455,195.806,277.203,293.381,,,,,,,
Aug.14,232.53,126.987,194.679,277.613,280.609,,,,,,,
Sep.14,226.936,132.162,195.666,276.841,272.166,,,,,,,
Oct.14,217.168,130.467,193.919,276.521,257.047,,,,,,,
Nov.14,208.657,126.286,191.224,275.897,238.151,,,,,,,
Dec.14,199.698,120.119,188.449,275.669,217.925,,,,,,,
