,C,BAC,JPM,S&P
5/8/1995,65.8259,13.4063,14.6667,523.96
5/9/1995,66.9841,13.5938,14.7917,523.56
5/10/1995,67.7563,13.625,14.7917,524.36
5/11/1995,66.405,13.4375,14.8333,524.37
5/12/1995,65.2468,13.5,15.0417,525.55
5/15/1995,66.7911,13.7188,15,527.74
5/16/1995,67.1772,13.8438,15.1667,528.19
5/17/1995,66.0189,13.7188,15,527.07
5/18/1995,64.0886,13.6563,15,519.58
5/19/1995,65.0538,13.4375,14.8333,519.19
5/22/1995,64.6677,13.625,15.2083,523.65
5/23/1995,65.4398,13.8438,15.7083,528.59
5/24/1995,65.2468,14.0625,15.3333,528.61
5/25/1995,64.0886,14.0625,15.5833,528.59
5/26/1995,64.6677,13.8125,15.4167,523.65
5/30/1995,64.2816,13.8438,15.2083,523.58
5/31/1995,65.2468,14.1563,15.375,533.4
6/1/1995,67.1772,14.1875,15.625,533.49
6/2/1995,68.7215,14.2813,15.9167,532.51
6/5/1995,68.5284,14.2813,15.7083,535.6
6/6/1995,67.9493,14.0938,15.6667,535.55
6/7/1995,65.8259,13.9688,15.5417,533.13
6/8/1995,64.8607,13.6875,15,532.35
6/9/1995,64.0886,13.4375,14.6667,527.94
6/12/1995,64.6677,13.5313,14.9167,530.88
6/13/1995,65.8259,13.875,15.4167,536.05
6/14/1995,65.2468,13.7813,15.4583,536.47
6/15/1995,65.0538,13.6563,15.2917,537.12
6/16/1995,64.8607,13.75,15.125,539.83
6/19/1995,66.5981,13.9688,15.6667,545.22
6/20/1995,65.6329,14,15.875,544.98
6/21/1995,66.7911,14.125,15.9167,543.98
6/22/1995,68.9145,14.375,16.125,551.07
6/23/1995,68.9145,14.0625,15.875,549.71
6/26/1995,66.5981,13.9688,15.8333,544.13
6/27/1995,65.6329,13.6875,15.7083,542.43
6/28/1995,65.8259,13.7188,16.0833,544.73
6/29/1995,67.3702,13.5,15.8333,543.87
6/30/1995,67.5633,13.4063,15.75,544.75
7/3/1995,68.5284,13.5,15.6667,547.09
7/5/1995,68.9145,13.625,15.7083,547.26
7/6/1995,69.3006,13.8438,16.125,553.99
7/7/1995,71.231,13.9375,16.4583,556.37
7/10/1995,71.424,13.75,17.0417,557.19
7/11/1995,70.8449,13.875,16.6667,554.78
7/12/1995,71.424,14,16.7917,560.89
7/13/1995,70.6519,14.125,16.875,561
7/14/1995,70.0727,13.9375,16.5,559.89
7/17/1995,72.5822,13.875,16.125,562.72
7/18/1995,72.5822,14.125,16.5417,558.46
7/19/1995,69.8797,13.9688,16.7083,550.98
7/20/1995,69.1076,14.125,17.2917,553.54
7/21/1995,69.1076,13.875,16.7917,553.62
7/24/1995,69.8797,13.7813,17.25,556.63
7/25/1995,70.2658,14.0313,17.3333,561.1
7/26/1995,71.617,14.2188,17.3333,561.61
7/27/1995,71.8101,14.125,17.4167,565.22
7/28/1995,72.5822,14.0313,17.2917,562.93
7/31/1995,73.1613,14.0313,17.2083,562.06
8/1/1995,72.5822,14.0313,17,559.64
8/2/1995,73.3544,14.2188,17.4583,558.8
8/3/1995,72.9683,14.25,17.5833,558.75
8/4/1995,72.7753,14.3438,17.625,558.94
8/7/1995,74.1265,14.6563,17.5833,560.03
8/8/1995,73.9335,14.875,18,560.39
8/9/1995,73.7405,14.875,17.9167,559.71
8/10/1995,72.7753,14.9063,17.8333,557.45
8/11/1995,72.5822,14.5313,17.5417,555.11
8/14/1995,72.9683,14.5,17.5833,559.74
8/15/1995,72.9683,14.6563,17.6667,558.57
8/16/1995,72.5822,14.875,18,559.97
8/17/1995,71.424,14.8125,17.75,559.04
8/18/1995,72.7753,14.9688,17.875,559.21
8/21/1995,72.9683,14.9375,17.8333,558.11
8/22/1995,73.7405,14.9688,17.8333,559.52
8/23/1995,73.9335,14.9063,17.8333,557.14
8/24/1995,74.8987,15.0938,17.8333,557.46
8/25/1995,76.0569,15.375,18.125,560.1
8/28/1995,74.7057,15.5625,20.0417,559.05
8/29/1995,74.3196,15.4063,19.7917,560
8/30/1995,74.1265,15.375,19.7083,560.92
8/31/1995,74.1265,15.3438,19.4167,561.88
9/1/1995,74.5126,15.375,19.3333,563.84
9/5/1995,75.6708,15.2188,19.4583,569.17
9/6/1995,76.0569,15.375,19.625,570.17
9/7/1995,75.4778,15.5938,19.5,570.29
9/8/1995,77.2151,15.875,19.7083,572.68
9/11/1995,77.2151,16.0625,19.9583,573.91
9/12/1995,77.9873,16.0938,20.0833,576.51
9/13/1995,77.9873,16.1875,20.0417,578.77
9/14/1995,80.6898,16.4375,20.1667,583.61
9/15/1995,81.462,16.7188,20.3333,583.35
9/18/1995,81.2689,16.625,19.9167,582.77
9/19/1995,81.0759,17.0625,20.1667,584.2
9/20/1995,80.3037,17.1563,20.1667,586.77
9/21/1995,78.7594,17.0313,19.5833,583
9/22/1995,77.6012,17.0313,19.5,581.73
9/25/1995,77.6012,16.875,19.5417,581.81
9/26/1995,78.3734,16.7813,19.6667,581.41
9/27/1995,78.9525,17,20,581.04
9/28/1995,81.2689,17.0313,20.3333,585.87
9/29/1995,82.0411,16.8125,20.2917,584.41
10/2/1995,81.2689,17.0313,20.1667,581.72
10/3/1995,81.1914,17.3125,20.3333,582.34
10/4/1995,80.0287,17.5,20.9167,581.47
10/5/1995,79.835,17.4063,20.8333,582.63
10/6/1995,81.9665,17.4375,21,582.49
10/9/1995,80.6101,17.5,20.9167,578.37
10/10/1995,79.0599,17.2813,21.125,577.52
10/11/1995,80.0287,17.4688,21.2083,579.46
10/12/1995,83.1291,18.0313,21.375,583.1
10/13/1995,84.098,17.9063,21.375,584.5
10/16/1995,82.354,17.8125,21.0417,583.03
10/17/1995,83.3229,17.9688,20.9167,586.78
10/18/1995,82.354,18.1563,20.4167,587.44
10/19/1995,80.9976,17.9375,20.2083,590.65
10/20/1995,78.2848,17.5,19.625,587.46
10/23/1995,76.7346,17.6875,19.7917,585.06
10/24/1995,76.7346,17.3438,19,586.54
10/25/1995,77.3159,16.4688,18.7917,582.47
10/26/1995,76.7346,16.2188,18.7083,576.72
10/27/1995,77.5097,16.875,19.4583,579.7
10/30/1995,77.7035,16.5,19.2917,583.25
10/31/1995,78.2848,16.4375,18.9583,581.5
11/1/1995,80.4163,16.7188,19.4583,584.22
11/2/1995,81.5789,17.0938,20.0833,589.72
11/3/1995,82.9354,16.875,19.7917,590.57
11/6/1995,84.6793,16.875,19.4583,588.46
11/7/1995,82.5478,16.7188,19.2083,586.32
11/8/1995,86.0357,17,19.7083,591.71
11/9/1995,88.5548,17.3438,19.8333,593.26
11/10/1995,86.2295,17.3438,19.8333,592.72
11/13/1995,83.9042,17.25,19.5417,592.3
11/14/1995,81.3852,17.0938,18.9167,589.29
11/15/1995,82.354,16.9375,18.875,593.96
11/16/1995,84.2918,17.2813,19.2083,597.34
11/17/1995,85.2606,17.6875,19.5417,600.07
11/20/1995,83.7105,17.5625,19.5833,596.85
11/21/1995,82.5478,17.7188,20,600.24
11/22/1995,82.5478,17.8125,20.125,598.4
11/24/1995,84.4856,17.8125,20.0417,599.97
11/27/1995,83.1291,18.125,19.75,601.32
11/28/1995,85.4544,18,19.75,606.45
11/29/1995,91.2676,17.9063,19.9167,607.64
11/30/1995,92.2365,17.8438,20,605.37
12/1/1995,92.0427,17.9375,19.9167,606.98
12/4/1995,93.3992,18.3438,20.3333,613.68
