year mon day  dspi
2010 02 01  10983.3
2010 03 01  11032.6
2010 04 01  11108.1
2010 05 01  11166.0
2010 06 01  11176.6
2010 07 01  11208.5
2010 08 01  11258.5
2010 09 01  11254.2
2010 10 01  11310.9
2010 11 01  11321.9
2010 12 01  11377.3
2011 01 01  11427.5
2011 02 01  11483.5
2011 03 01  11532.1
2011 04 01  11550.8
2011 05 01  11559.7
2011 06 01  11566.9
2011 07 01  11624.6
2011 08 01  11643.1
2011 09 01  11675.4
2011 10 01  11685.3
2011 11 01  11668.9
2011 12 01  11704.7
2012 01 01  11729.5
2012 02 01  11765.5
2012 03 01  11811.4
